name,code,pst,gst,hst,total
Alberta,AB,null,0.05,null,0.05
BRITISH COLUMBIA,BC,0.07,0.05,null,0.12
MANITOBA,MB,0.07,0.05,null,0.12
NEW BRUNSWICK,NB,null,null,0.15,0.15
NEWFOUNDLAND and LABRADOR,NL,null,null,0.15,0.15
NORTHWEST TERRITORIES,NT,null,0.05,null,0.05
NOVA SCOTIA,NS,null,null,0.15,0.15
NUNAVUT,NU,null,0.05,null,0.05
ONTARIO,ON,null,null,0.15,0.15
PRINCE EDWARD ISLAND,PE,null,null,0.15,0.15
QUEBEC,QC,0.09975,0.05,null,0.14975
SASKATCHEWAN,SK,0.06,0.05,null,0.11
YUKON,YT,null,0.05,null,0.05
